,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel,Source-Image,position,RightKneeAngle,LeftKneeAngle,LeftHeelAngleAngle,RightHeelAngleAngle,HipAngle
19,382,273,382,313,330,313,295,352,243,404,434,313,469,352,504,404,400,378,365,378,313,404,347,443,417,378,469,404,434,443,365,273,382,273,365,260,400.0,260.0,452,469,469,469,434,456,330,469,313,469,365,443,front/right_bottom/20181231_175857.jpg,right_bottom,75.48330004114537,74.6591092359951,88.32012255830526,100.79017583751711,145.42786983409601
20,382,286,382,313,330,313,295,365,278,417,434,313,469,365,504,417,400,378,365,378,313,404,347,443,417,378,469,391,452,443,365,273,382,273,347,273,400.0,273.0,452,469,469,469,434,443,330,469,330,456,365,443,front/right_bottom/20181231_175858.jpg,right_bottom,75.48330004114537,85.93248043341985,63.85478587680125,100.92280471986928,139.74622126574974
21,365,221,365,273,313,273,278,339,313,378,434,273,469,339,434,378,382,352,347,352,278,365,313,443,417,352,486,365,452,443,365,221,382,221,330,221,400.0,221.0,469,469,486,469,434,456,278,469,278,456,330,443,front/right_bottom/20190101_110601.jpg,right_bottom,76.50315296151119,77.11751913160204,92.28876250686228,95.00252988529141,167.85572195043298
22,365,339,365,313,313,313,278,365,313,391,434,313,486,365,434,404,382,391,347,391,260,391,330,469,417,391,486,404,452,469,347,326,382,326,330,313,400.0,300.0,486,495,486,482,434,469,278,495,278,482,330,469,front/right_bottom/20190101_110604.jpg,right_bottom,48.09405805891712,73.05675498141221,94.2027045581411,111.34989672149943,113.54238653128013
23,365,273,365,300,313,300,260,365,313,391,434,300,469,365,417,404,382,404,330,404,243,391,313,456,417,404,486,404,434,456,347,260,382,260,330,260,400.0,260.0,469,495,469,482,434,456,260,482,260,482,330,469,front/right_bottom/20190101_110605.jpg,right_bottom,34.38034472384487,45.0,90.56565539829971,120.07944003109101,60.340011980902275
24,382,273,400,313,330,313,260,391,295,378,452,313,521,391,504,378,400,391,347,391,278,404,330,482,434,391,504,417,469,482,382,260,400,260,347,260,417.0,260.0,486,508,504,508,452,482,295,508,295,508,347,482,front/right_bottom/20190101_110646.jpg,right_bottom,66.97971527851689,82.07567944783001,83.34392792010894,96.9318138104584,155.22485943116808
25,400,234,400,286,330,286,260,352,295,365,469,286,504,339,521,365,400,365,365,365,295,378,330,456,434,365,504,378,469,456,382,234,417,234,365,234,434.0,234.0,486,495,504,482,452,469,295,482,295,482,347,469,front/right_bottom/20190101_110647.jpg,right_bottom,76.35415447088887,76.35415447088887,86.07293563216137,93.09354611464083,177.79740183823404
26,417,273,400,286,347,286,313,313,382,352,452,286,486,300,452,352,400,339,365,339,295,339,330,378,434,339,504,339,452,378,400,273,434,273,382,260,452.0,260.0,504,404,504,391,434,378,295,404,295,391,347,378,front/right_bottom/20190102_181725.jpg,right_bottom,48.09405805891712,36.86989764584401,144.75903263106164,113.97658850169405,90.0
27,382,260,365,273,313,273,278,286,330,326,417,273,452,286,400,326,365,326,330,326,260,339,313,365,400,326,469,326,417,365,365,260,382,260,330,247,417.0,260.0,486,391,469,378,417,365,278,391,278,378,330,378,front/right_bottom/20190102_181728.jpg,right_bottom,36.651784858812945,36.86989764584401,134.7920307517694,135.50674524843546,175.60129464500443
28,400,273,382,273,330,273,295,286,347,326,434,273,469,286,417,326,382,326,347,326,278,326,330,365,417,326,486,326,434,365,382,260,400,260,347,247,434.0,260.0,486,391,486,378,417,365,295,391,295,378,330,378,front/right_bottom/20190102_181731.jpg,right_bottom,36.86989764584401,36.86989764584401,143.3835684423696,118.43763962045396,
29,382,260,365,260,313,260,278,286,330,313,434,260,452,286,400,326,365,326,347,326,278,326,313,365,400,326,469,326,417,352,365,247,400,247,347,247,417.0,247.0,469,378,469,378,400,365,278,378,278,378,330,365,front/right_bottom/20190102_181734.jpg,right_bottom,48.09405805891712,26.56505117707799,145.07354047141914,121.48332479168943,90.0
30,400,260,400,260,330,260,295,286,347,326,469,260,469,286,417,326,382,326,365,313,295,326,347,365,417,326,486,326,434,352,400,247,417,247,365,247,452.0,247.0,486,378,486,365,417,352,295,378,295,378,347,365,front/right_bottom/20190102_181738.jpg,right_bottom,47.390681959718385,26.56505117707799,151.6453488988011,129.0938588862295,74.74488129694222
31,400,260,400,260,330,260,295,300,382,339,469,260,469,300,434,352,400,326,365,326,278,326,330,365,434,326,521,313,469,365,382,247,417,247,347,234,434.0,234.0,504,378,504,378,469,365,295,378,295,378,330,365,front/right_bottom/20190102_181757.jpg,right_bottom,36.86989764584401,36.50144112050632,164.65910923599506,122.75366714031959,4.398705354995675
32,400,260,382,273,330,273,243,273,313,234,452,273,521,273,452,247,400,352,347,352,243,365,278,404,434,352,521,365,486,404,382,247,400,247,365,247,434.0,247.0,521,430,521,417,469,404,243,417,243,417,295,404,front/right_bottom/20190102_192227.jpg,right_bottom,55.219074407818916,56.5926169384108,144.83615379451115,121.48332479168943,113.00204346787685
33,295,234,295,260,713,143,121,300,173,313,365,260,452,300,365,326,295,339,260,339,139,365,208,430,347,339,452,352,400,417,278,221,313,221,226,234,782.0,78.0,434,443,452,443,382,430,608,417,139,443,226,430,front/right_bottom/20190103_144348.jpg,right_bottom,55.41727699078858,58.398038395790984,105.77519888122093,39.80557109226519,178.53119928561406
34,330,247,295,273,713,143,139,313,243,352,382,273,469,313,365,352,782,247,730,247,139,365,208,430,365,365,469,352,400,417,295,234,747,78,243,234,782.0,78.0,434,443,452,443,382,430,139,456,156,443,226,430,front/right_bottom/20190103_144349.jpg,right_bottom,54.58147352994682,36.16516960695668,112.77170064120132,124.52160839819162,10.074222075416149
35,400,234,417,247,330,247,226,286,156,300,486,247,556,273,643,300,417,326,365,326,278,352,330,417,452,326,521,339,486,417,382,221,417,221,347,221,469.0,221.0,539,443,539,430,452,417,260,443,260,430,347,430,front/right_bottom/20190103_144628.jpg,right_bottom,67.9789974163362,76.50315296151119,126.90218605015387,120.83322593506115,138.0940580589171
36,382,273,382,273,313,273,243,300,173,326,452,273,521,313,556,326,382,339,347,339,226,339,260,404,417,339,504,339,469,404,365,260,400,260,330,260,417.0,247.0,521,430,521,430,452,417,226,430,226,417,278,417,front/right_bottom/20190103_144751.jpg,right_bottom,62.38697217691553,61.69924423399363,124.82514874167764,104.20123231452997,90.0
37,400,247,400,260,347,260,278,273,226,300,469,260,591,300,521,313,400,326,365,326,260,326,278,391,434,326,521,326,486,391,382,234,417,234,365,234,452.0,234.0,521,417,539,404,469,391,226,417,226,404,295,404,front/right_bottom/20190103_144755.jpg,right_bottom,74.52136183458165,61.69924423399363,139.21231174451063,98.20909425260633,90.0
38,400,247,382,260,313,260,243,286,191,313,452,260,539,300,591,313,382,326,347,326,243,313,260,391,417,326,504,326,469,391,382,247,400,247,347,234,434.0,234.0,504,417,504,404,452,404,208,417,208,404,278,404,front/right_bottom/20190103_144759.jpg,right_bottom,70.57971722810005,61.69924423399363,142.35464078885153,95.07213287251452,52.59464336859145
39,400,247,400,247,330,247,243,286,191,300,469,247,556,286,591,313,400,313,365,313,260,326,278,391,434,313,521,326,486,391,382,234,417,234,347,234,452.0,234.0,539,417,539,404,469,391,243,417,243,404,295,404,front/right_bottom/20190103_144806(0).jpg,right_bottom,81.57920848446274,70.19780311348731,135.6188657938208,93.69737961711014,143.8418145601917
40,400,247,400,260,330,260,243,300,191,313,469,260,539,300,591,313,400,326,365,326,243,326,278,391,434,326,521,326,486,391,382,247,417,247,347,247,434.0,234.0,539,417,539,404,469,391,243,417,243,404,295,404,front/right_bottom/20190103_144806.jpg,right_bottom,61.69924423399363,61.69924423399363,135.6188657938208,104.67717457732621,90.0
41,400,247,382,260,330,260,226,300,173,300,452,260,573,300,521,313,382,339,347,339,243,326,278,391,434,326,521,339,469,391,382,247,417,234,347,247,434.0,234.0,521,417,521,404,452,391,226,417,226,404,295,404,front/right_bottom/20190103_144810.jpg,right_bottom,54.57422788509183,53.498558879493686,141.4822175628423,109.1888892128224,0.0
42,434,39,400,104,313,104,260,156,243,208,504,104,539,169,556,221,400,221,347,221,313,313,278,391,469,221,469,286,486,391,417,39,434,39,365,52,,,521,417,539,404,469,391,260,417,243,404,295,404,front/right_bottom/20190103_144817.jpg,right_bottom,176.11592924593108,170.80334410837108,114.88225264332063,52.211646151909434,173.45961417180337
43,382,39,382,104,295,104,243,156,243,195,486,104,539,156,556,208,382,208,330,208,313,300,278,391,452,208,469,300,486,378,365,39,400,39,347,52,434.0,52.0,521,404,539,404,486,391,243,417,243,404,295,404,front/right_bottom/20190103_144822.jpg,right_bottom,169.4316632322896,178.17390783471308,121.1019792267083,58.15581153373982,174.41275603579572
44,400,195,400,234,330,234,226,260,260,260,452,234,521,260,417,247,400,313,347,313,208,326,260,391,434,313,556,326,521,391,382,195,400,195,347,195,434.0,195.0,556,417,556,417,504,404,208,417,208,404,278,404,front/right_bottom/20190103_145112(0).jpg,right_bottom,56.683247504485074,67.78158092727567,153.9634376401785,118.43845232165577,125.8376529542783
45,400,208,382,221,313,221,226,234,260,221,452,221,521,234,434,221,400,300,347,313,226,326,260,391,434,300,556,326,521,391,365,195,400,195,347,195,434.0,195.0,556,404,573,404,504,391,208,404,208,404,278,391,front/right_bottom/20190103_145120.jpg,right_bottom,68.51919467459484,73.7298403305315,153.5010338910945,111.45557271897513,148.07089851311298
46,400,208,382,234,313,234,226,247,260,234,434,234,521,234,434,234,400,313,347,313,226,326,260,391,434,313,556,326,521,391,382,195,400,195,347,208,434.0,208.0,556,417,573,404,504,404,208,404,208,404,278,391,front/right_bottom/20190103_145121.jpg,right_bottom,68.51919467459484,67.78158092727567,152.67610869865345,111.45557271897513,132.4692369823646
47,400,195,382,234,313,234,208,247,243,234,452,234,521,247,452,247,400,313,347,313,208,326,260,391,434,313,556,326,521,391,382,182,417,182,347,195,434.0,195.0,573,417,573,404,504,404,208,417,208,404,278,391,front/right_bottom/20190103_145124.jpg,right_bottom,56.683247504485074,67.78158092727567,148.35530374366897,115.4540675811704,113.00204346787685
48,452,195,452,221,382,221,278,221,295,208,504,221,591,234,521,208,452,313,400,313,278,313,313,378,486,313,608,313,573,378,434,182,469,182,417,182,504.0,195.0,608,404,608,391,556,391,260,404,260,391,330,378,front/right_bottom/20190103_145137.jpg,right_bottom,61.69924423399363,61.69924423399363,167.19531284403635,106.1992311188919,90.0
49,434,195,417,208,347,208,278,234,243,221,486,208,573,247,556,234,417,300,382,300,260,313,295,365,469,300,573,300,556,378,417,182,452,182,382,182,469.0,182.0,591,391,591,391,539,378,243,391,243,378,313,378,front/right_bottom/20190103_145140.jpg,right_bottom,62.138749673530235,77.70473357700185,158.89623905369587,114.9175744234451,175.60129464500443
50,382,234,382,221,295,221,208,260,243,273,452,221,521,260,434,273,382,300,347,300,208,300,243,352,434,300,539,286,504,352,365,221,400,221,330,208,417.0,195.0,539,378,539,378,486,365,191,378,191,365,260,365,front/right_bottom/20190103_145146(0).jpg,right_bottom,56.0564129802482,54.46821380486995,158.59429152591025,114.50702284103731,50.527540151656176
51,382,234,365,221,295,221,208,260,243,286,452,221,521,260,452,286,382,300,330,300,191,300,243,352,434,300,539,286,504,352,365,221,400,221,330,208,,,521,378,539,378,486,365,191,378,191,365,260,365,front/right_bottom/20190103_145146.jpg,right_bottom,45.0,54.46821380486995,164.72742903445635,123.8357725907061,55.47558689847342
52,382,182,382,208,313,208,208,234,260,234,452,208,521,234,434,234,382,286,347,286,208,300,243,352,434,286,539,286,504,352,365,169,400,169,330,182,417.0,182.0,539,378,539,365,486,365,191,378,191,365,260,365,front/right_bottom/20190103_145148.jpg,right_bottom,61.80781507061419,62.0628571734614,161.57342408064446,114.50702284103731,129.47245984834382
53,382,169,365,208,313,208,208,221,243,208,434,208,539,221,452,208,382,286,330,286,208,286,243,352,417,286,539,286,504,352,365,156,400,156,330,169,417.0,169.0,539,378,539,365,486,352,191,365,191,365,260,352,front/right_bottom/20190103_145149.jpg,right_bottom,62.0628571734614,62.0628571734614,159.3060037319459,111.2614225411814,77.70473357700185
54,382,169,382,208,313,208,208,221,243,221,452,195,539,221,469,221,400,286,365,286,208,286,260,352,434,286,556,286,521,352,365,156,400,156,347,169,434.0,169.0,556,365,556,365,504,352,208,365,208,352,278,352,front/right_bottom/20190103_145152.jpg,right_bottom,51.76617482255306,62.0628571734614,164.8052460773453,126.66308834078293,77.00538320808349
55,400,156,382,208,313,208,208,221,278,195,452,208,556,221,469,195,400,286,347,286,226,286,260,352,434,286,539,286,504,352,382,156,400,156,347,169,434.0,169.0,556,365,556,365,486,352,191,365,208,365,278,352,front/right_bottom/20190103_145153.jpg,right_bottom,62.74467162505693,62.0628571734614,153.1401189405634,112.49008721639784,77.00538320808349
56,417,169,400,208,330,208,226,221,278,195,469,208,556,221,486,208,400,286,365,286,243,286,260,352,434,286,556,286,521,339,400,169,434,169,365,169,452.0,169.0,556,365,573,365,504,352,208,365,208,365,278,352,front/right_bottom/20190103_145155.jpg,right_bottom,75.55596427550776,56.56013079421776,160.0938529399942,99.47083822751004,90.0
57,400,143,400,182,330,182,226,195,260,182,452,195,556,195,469,182,400,273,347,273,243,286,278,339,434,273,556,286,521,339,382,130,417,130,365,156,452.0,156.0,573,365,573,365,504,352,226,365,226,352,295,352,front/right_bottom/20190103_145158.jpg,right_bottom,63.685147143119565,62.64246748749982,155.88486801582397,114.04316429716084,177.79740183823404
58,417,260,417,273,365,273,313,286,365,286,469,273,539,286,469,273,417,339,382,339,330,352,347,417,452,339,539,352,504,417,417,247,434,260,400,260,452.0,260.0,556,430,556,430,486,417,295,430,295,430,365,430,front/right_bottom/20190103_145523(0).jpg,right_bottom,89.37949235216605,70.19780311348731,138.63907928578135,103.90076982861794,126.60707481260752
59,417,260,417,286,365,286,295,286,365,286,469,286,539,286,469,273,417,352,382,352,330,365,347,430,452,352,521,352,504,430,400,260,434,260,382,260,452.0,260.0,556,443,539,430,486,430,295,443,295,430,347,430,front/right_bottom/20190103_145526(0).jpg,right_bottom,89.37949235216605,77.70473357700185,132.8941947103983,97.53173476685863,127.40535663140857
60,295,195,295,221,208,221,156,247,313,260,365,221,469,247,556,247,295,313,260,313,191,326,243,417,347,313,469,352,382,417,278,195,313,195,226,195,347.0,195.0,434,430,417,430,365,417,208,443,208,443,260,430,front/right_bottom/20190103_155205.jpg,right_bottom,70.92490150755445,54.492010130168254,123.16180293957896,97.67458995019737,126.6070748126075
61,382,247,382,273,313,273,260,273,226,286,434,273,469,273,504,273,382,339,347,339,260,378,295,430,417,339,486,365,452,430,365,234,400,234,330,234,434.0,247.0,504,456,504,443,434,430,243,443,243,443,313,430,front/right_bottom/20190103_155245.jpg,right_bottom,80.20195494066985,83.03396300188591,111.56796630932709,118.20576221273596,164.52136183458163
62,382,247,382,273,313,273,260,286,226,300,434,273,486,286,504,300,382,352,330,352,260,365,295,430,417,352,486,365,452,430,365,247,400,247,330,247,434.0,247.0,504,456,504,443,434,430,243,443,243,443,313,430,front/right_bottom/20190103_155248.jpg,right_bottom,72.22002854786798,73.05675498141221,111.56796630932709,112.06438185822769,145.30484646876604
63,365,234,365,273,313,273,243,273,173,273,434,273,504,273,469,260,365,352,330,352,191,378,260,430,417,352,556,365,486,430,347,221,382,221,330,234,417.0,234.0,539,456,539,456,469,443,208,456,208,443,278,443,front/right_bottom/20190103_155336.jpg,right_bottom,47.597292240533314,48.221959361913704,136.14056345802186,131.09950625761812,156.44773632710533
64,382,300,382,300,330,300,260,326,226,352,434,300,486,326,521,339,382,352,347,352,278,378,313,417,417,352,486,352,434,417,365,286,382,286,347,286,417.0,286.0,486,430,486,430,417,417,278,430,278,430,330,430,front/right_bottom/20190103_155515.jpg,right_bottom,68.74104888388747,51.34019174590991,125.20495878584094,125.21411217898128,180.0
65,365,300,365,313,313,300,260,326,226,339,417,313,486,339,486,352,365,352,330,352,278,378,295,430,400,352,452,378,434,430,347,300,365,286,330,286,400.0,286.0,469,443,469,443,417,430,260,443,260,443,313,430,front/right_bottom/20190103_155521.jpg,right_bottom,98.46128814257136,97.4715591765924,101.94797155141086,100.10503636503795,180.0
66,382,300,382,313,330,313,278,326,243,352,434,313,504,339,504,352,382,352,347,352,278,365,313,417,417,352,469,365,452,417,365,300,400,300,347,300,417.0,286.0,486,443,486,430,434,430,278,443,278,430,330,430,front/right_bottom/20190103_155524.jpg,right_bottom,66.72619578474487,85.93248043341985,114.86041065618993,109.99530820554114,146.82148834060726
67,365,300,382,313,313,313,260,326,226,352,434,313,504,339,486,352,382,352,347,352,278,365,313,417,417,352,486,365,434,417,365,300,382,300,330,300,417.0,286.0,486,443,486,430,417,417,278,443,278,430,330,430,front/right_bottom/20190103_155528.jpg,right_bottom,66.72619578474487,55.669782804496684,124.69515353123398,109.99530820554114,180.0
68,365,313,382,313,330,313,260,339,226,352,434,313,486,339,486,365,382,352,347,352,278,365,313,417,417,352,469,352,434,417,365,300,382,300,330,286,417.0,286.0,486,443,486,430,417,417,260,443,260,430,313,430,front/right_bottom/20190103_155531.jpg,right_bottom,66.72619578474487,61.69924423399363,110.31375894014337,107.1100891715205,127.40535663140857
69,400,300,400,300,347,300,278,339,243,352,452,300,521,339,521,352,400,352,382,352,295,378,330,430,434,352,486,365,469,417,382,300,417,300,365,300,434.0,286.0,504,443,504,430,452,430,295,443,295,430,347,430,front/right_bottom/20190103_155534.jpg,right_bottom,72.69521865067448,85.93248043341985,123.431314791411,121.41521941087169,154.02560603756868
70,417,313,417,326,365,326,295,365,295,391,486,326,539,365,556,391,417,365,382,365,330,378,347,430,452,365,504,378,469,430,400,313,434,313,382,300,452.0,300.0,521,443,521,443,452,430,295,443,295,443,365,430,front/right_bottom/20190103_155541.jpg,right_bottom,85.93248043341985,70.09265644817467,127.44820274543183,104.53445508054013,180.0
71,417,339,400,326,347,326,295,365,278,378,452,326,504,352,521,378,417,365,382,365,313,378,347,430,452,365,521,365,469,417,400,326,417,326,365,313,434.0,313.0,521,443,521,443,452,430,295,443,295,443,365,430,front/right_bottom/20190103_155546.jpg,right_bottom,67.49127114510392,45.0,131.73398950175329,117.55753475114513,156.44773632710533
72,452,326,452,313,400,313,330,352,313,365,504,313,556,352,556,365,452,352,417,352,347,378,365,417,486,352,556,365,504,417,434,313,469,313,417,300,486.0,300.0,539,443,539,430,486,430,330,443,330,430,382,430,front/right_bottom/20190103_155549.jpg,right_bottom,85.60129464500447,55.52078431387436,155.61007497646457,103.57846828695804,178.53119928561432
73,347,273,365,300,278,300,208,339,173,378,434,300,521,339,539,378,365,339,330,339,243,352,295,391,417,339,486,352,434,391,330,260,365,260,295,260,400.0,260.0,486,404,486,404,417,391,260,417,260,404,313,391,front/right_bottom/20190103_155718.jpg,right_bottom,45.3684565253377,47.53968045034071,142.99747347180383,123.50536811638989,177.7974018382342
74,382,260,382,286,295,286,226,326,208,378,469,286,556,326,573,378,400,339,347,339,260,352,313,378,434,339,504,352,452,378,347,260,382,260,330,260,417.0,260.0,504,404,504,391,434,378,278,404,278,391,330,391,front/right_bottom/20190103_155722.jpg,right_bottom,34.629559424432266,37.08583549095235,150.08335894332714,135.50674524843546,107.07900260643605
75,400,273,400,286,330,286,243,339,226,378,486,286,573,326,591,365,417,339,382,339,278,352,347,378,452,339,539,339,486,378,382,260,417,260,347,260,434.0,260.0,521,404,521,391,469,378,313,404,313,391,365,378,front/right_bottom/20190103_155733.jpg,right_bottom,27.772007173872158,36.34745820888529,161.89433364092466,137.17131179091484,109.62146818871604
76,417,247,417,273,347,273,260,313,226,352,504,273,591,313,608,352,434,326,400,326,295,339,365,378,469,326,556,339,486,378,400,247,434,247,365,247,469.0,247.0,539,391,539,391,469,378,313,391,313,391,365,378,front/right_bottom/20190103_155738.jpg,right_bottom,36.1819001446585,37.62261237427109,163.85731153884484,136.83970303729612,129.03759989791473
